id,name,level,numberOfTeams,season,organizer
1,MLS,1,29,2024,Major League Soccer
2,SPL,1,18,2024,Saudi Football Federation
3,Premier League,1,20,2024,English Premier League
4,La Liga,1,20,2024,RFEF - Professional Football League
5,Ligue 1,1,18,2024,Ligue de Football Professionnel
